2017-12-18 13:48:44,826 [Worker-13] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' D:\workspace\SpringMvcTutorial\learnspringmvc\pom.xml
2017-12-18 13:48:48,217 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.artisan:learnspringmvc:0.0.1-SNAPSHOT @ D:\workspace\SpringMvcTutorial\learnspringmvc\pom.xml.
2017-12-18 13:48:49,961 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /learnspringmvc/src/main/java
2017-12-18 13:48:49,962 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /learnspringmvc/src/main/resources
2017-12-18 13:48:49,963 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /learnspringmvc/src/test/java
2017-12-18 13:48:53,883 [Worker-13] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 9 sec
2017-12-18 13:48:54,964 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-18 13:48:54,974 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-18 13:48:54,979 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-18 13:48:54,980 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace\SpringMvcTutorial\learnspringmvc\src\test\resources
2017-12-18 13:49:51,194 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.artisan:learnspringmvc:0.0.1-SNAPSHOT @ D:\workspace\SpringMvcTutorial\learnspringmvc\pom.xml.
2017-12-18 13:49:52,602 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-18 13:49:52,606 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-18 13:49:52,610 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-18 13:49:52,611 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace\SpringMvcTutorial\learnspringmvc\src\test\resources
2017-12-18 13:49:52,612 [Worker-17] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of learnspringmvc
